taxonID,phylum,class,order,family,genus,scientificName
MX.37737,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cryptogramma,Cryptogramma crispa
MX.37745,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Thelypteris,Thelypteris palustris
MX.37747,Tracheophyta,Polypodiopsida,Polypodiales,Thelypteridaceae,Phegopteris,Phegopteris connectilis
MX.37750,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris filix-mas
MX.37751,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris cristata
MX.37752,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris carthusiana
MX.37754,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris expansa
MX.37755,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris dilatata
MX.37756,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris fragrans
MX.37758,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Polystichum,Polystichum lonchitis
MX.37759,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Polystichum,Polystichum aculeatum
MX.37761,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,Diplazium,Diplazium sibiricum
MX.37763,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,Athyrium,Athyrium filix-femina
MX.37764,Tracheophyta,Polypodiopsida,Polypodiales,Athyriaceae,Pseudathyrium,Pseudathyrium alpestre
MX.37766,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,Cystopteris fragilis
MX.37769,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,Cystopteris montana
MX.37771,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Gymnocarpium,Gymnocarpium dryopteris
MX.37772,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Gymnocarpium,Gymnocarpium robertianum
MX.37773,Tracheophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Gymnocarpium,Gymnocarpium continentale
MX.37776,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Woodsia,Woodsia ilvensis
MX.37777,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Woodsia,Woodsia alpina
MX.37779,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Woodsia,Woodsia glabella
MX.37781,Tracheophyta,Polypodiopsida,Polypodiales,Onocleaceae,Matteuccia,Matteuccia struthiopteris
MX.37785,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium trichomanes
MX.37786,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium quadrivalens
MX.37787,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium adulterinum
MX.37788,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium viride
MX.37789,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium septentrionale
MX.37790,Tracheophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,Asplenium ruta-muraria
MX.37793,Tracheophyta,Polypodiopsida,Polypodiales,Blechnaceae,Struthiopteris,Struthiopteris spicant
MX.37796,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,Polypodium,Polypodium vulgare
MX.4994055,Tracheophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Pteridium,Pteridium aquilinum
